"ID_Hogar","P9","line","P10","P12","P14","P1","P50","P68","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101","Estacion","Edad"
439212642,58,1,1,7,NA,1,7,1,1,1,2,2,1,1,3,2,2,1,12,7
439212624,36,1,1,11,11,4,2,1,2,2,2,1,1,2,3,1,1,1,12,5
439208272,67,2,1,3,15,1,4,1,1,1,2,2,2,2,3,3,2,1,29,8
439203229,40,2,1,5,15,2,5,1,2,1,2,2,2,3,2,1,2,1,29,5
439196055,30,2,1,5,15,1,10,1,2,1,3,1,1,2,2,2,2,2,29,4
439182310,56,1,1,7,15,2,99,1,1,1,3,1,1,2,2,2,2,2,111,7
439182282,43,1,1,3,11,2,99,1,1,1,2,1,1,1,2,2,2,2,111,5
439182251,52,1,1,7,15,3,99,1,2,1,3,1,3,2,3,2,2,2,111,6
439179573,68,1,1,7,11,2,99,1,2,1,1,1,2,1,1,1,1,1,111,8
439179538,60,1,1,7,14,1,99,1,2,1,2,2,2,1,3,3,2,1,111,7
439169545,39,2,1,5,15,1,5,1,2,1,2,2,2,2,3,2,2,2,29,5
439163584,52,1,1,3,15,1,7,1,1,1,2,1,1,1,3,2,2,1,12,6
439163528,46,1,1,7,15,1,6,1,2,1,2,1,3,2,2,2,2,1,12,6
439163494,34,1,1,7,15,2,6,1,2,2,2,2,2,1,3,2,2,2,12,4
439163438,24,1,1,5,9,1,7,1,2,2,1,2,1,2,3,1,3,2,12,3
439160470,75,1,1,3,NA,1,4,1,1,1,1,1,1,1,3,3,1,1,12,8
439159666,55,1,1,5,15,1,99,1,1,1,3,1,2,2,2,2,2,2,12,7
439156705,38,1,1,7,11,1,6,1,2,1,2,1,1,3,3,2,3,3,16,5
439153919,30,2,1,11,15,2,11,2,2,1,2,1,1,2,2,1,3,3,29,4
439149107,35,1,2,7,14,1,99,2,2,1,2,2,2,3,2,2,2,2,111,5
439142073,70,2,1,5,14,1,4,1,1,2,2,2,2,2,2,2,2,2,29,8
438853209,55,2,2,11,14,2,99,1,1,1,3,1,1,1,3,3,3,1,22,7
438853142,35,2,1,9,15,1,7,1,2,2,2,2,2,2,2,2,2,2,22,5
438853082,37,2,2,6,6,1,99,1,2,1,3,3,2,2,3,3,2,2,22,5
438853032,32,2,1,11,15,2,99,1,1,2,3,2,2,3,2,1,3,3,22,4
438851755,23,2,1,7,9,2,8,1,2,2,2,1,1,2,3,3,1,3,211,3
438851752,63,2,1,4,17,1,5,1,1,1,1,1,1,1,2,1,2,1,211,7
438851745,42,2,1,9,15,2,5,1,1,1,1,1,3,1,1,1,1,3,211,5
438851742,65,2,1,5,11,1,4,1,1,1,2,2,2,3,2,1,2,2,211,8
438851741,53,2,1,7,6,2,5,1,2,1,2,2,2,1,2,2,2,1,211,6
438851739,23,2,1,7,16,2,3,1,2,1,3,1,2,3,2,1,1,2,211,3
438851737,71,2,1,4,14,2,3,1,2,1,2,2,1,2,2,1,1,1,211,8
438851735,62,2,1,7,11,2,99,1,2,1,3,1,3,3,1,1,3,3,211,7
438851441,45,1,1,13,11,2,9,2,1,3,1,1,1,1,3,1,1,1,114,6
438851433,22,1,2,5,11,2,4,1,2,1,2,1,1,1,3,3,2,1,114,3
438850963,40,1,1,7,11,2,99,1,1,1,2,2,1,1,2,1,2,2,110,5
438850956,34,1,1,3,15,3,5,1,2,1,2,2,2,2,2,2,2,2,110,4
438850951,55,1,1,7,15,1,99,1,1,1,3,1,2,1,1,1,2,3,110,7
438850846,32,1,1,8,11,1,3,1,1,1,3,1,1,1,3,3,2,2,110,4
438850837,35,1,2,7,15,2,99,1,1,1,1,2,1,2,2,2,2,2,110,5
438850830,52,1,2,7,15,2,7,1,1,1,1,2,2,2,2,2,2,2,110,6
438850823,64,1,1,4,15,3,99,1,2,1,2,1,1,1,1,2,2,2,110,7
438842529,59,1,1,5,14,1,4,1,2,1,1,1,1,3,3,2,1,1,114,7
438829109,82,1,2,3,NA,1,6,1,1,2,3,1,3,2,3,1,3,3,19,8
438829105,47,1,1,11,13,1,9,1,2,1,1,1,1,1,3,3,3,1,19,6
438829099,48,1,1,13,13,1,99,1,1,1,1,1,1,1,3,3,2,2,19,6
438829089,62,1,1,3,14,2,99,1,1,2,3,3,3,2,2,2,1,2,19,7
438829076,75,1,2,3,NA,2,99,1,1,2,1,1,1,1,3,1,1,1,19,8
438829070,74,1,1,11,13,1,9,1,1,2,3,1,1,1,2,1,2,1,19,8
438829068,32,1,2,10,11,1,99,1,2,2,2,2,1,3,1,1,2,1,19,4
438823253,62,1,1,11,13,2,10,2,2,2,3,1,3,1,3,1,3,2,114,7
438816359,49,1,2,9,15,2,5,1,2,2,3,1,1,3,3,2,3,2,114,6
438747468,41,1,1,11,11,2,99,2,1,1,3,1,1,2,1,1,3,1,110,5
438747455,33,1,1,5,11,2,99,1,1,1,2,1,2,2,3,2,1,1,110,4
438747443,62,1,2,9,15,1,99,1,1,2,3,1,1,2,3,1,3,1,110,7
438747424,67,1,1,7,15,1,99,1,1,1,3,3,3,2,3,2,3,3,110,8
438747413,52,1,2,5,15,1,99,1,1,2,2,2,2,2,3,1,3,2,110,6
438747398,52,1,1,5,15,2,99,1,1,1,2,1,1,1,3,3,3,3,110,6
438747386,54,1,1,5,15,2,99,1,1,1,1,1,1,1,3,3,3,1,110,6
438747370,38,1,1,5,15,2,99,1,1,2,1,1,1,1,3,2,3,2,110,5
