"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"209",439234816,40,5,1,9,11,2,7,2,1,1,1,1,1,3,1,2,1
"210",439633692,64,7,2,11,NA,2,7,2,1,3,3,3,2,2,2,2,2
"211",439680695,65,8,1,9,NA,1,8,1,2,1,1,1,1,3,1,2,1
"212",439692923,73,8,1,2,11,1,4,1,2,1,1,2,2,3,2,1,2
"213",440551006,62,7,1,3,15,1,2,2,1,2,2,1,1,2,1,1,1
"214",443452936,79,8,1,3,15,1,99,1,1,1,2,2,2,2,2,2,2
"215",443459038,32,4,1,7,14,1,99,2,1,1,1,1,1,1,3,3,1
"216",443462669,69,8,1,5,NA,1,99,1,2,2,2,2,2,3,2,3,3
"217",439203229,40,5,1,5,15,2,5,2,1,2,2,2,3,2,1,2,1
"218",439215695,38,5,1,5,11,1,99,2,1,1,1,1,1,3,2,2,2
"219",439237186,29,4,1,13,11,1,7,2,2,2,2,1,1,3,1,3,1
"220",439666111,30,4,2,10,NA,2,4,2,2,2,2,1,1,1,2,2,1
"221",440101138,52,6,1,5,11,1,5,2,1,2,2,2,3,2,3,2,1
"222",440142557,63,7,1,5,15,1,2,2,2,1,1,2,1,2,1,3,1
"223",440530928,46,6,1,3,11,1,4,2,1,1,1,1,1,2,1,1,1
"224",437907019,59,7,1,4,11,1,3,1,2,1,1,1,3,2,2,2,2
"225",438168293,54,6,2,5,11,3,3,1,1,2,2,1,1,2,3,2,1
"226",438324850,49,6,1,2,11,1,5,2,3,2,1,2,1,2,1,3,1
"227",438327631,58,7,1,5,14,1,4,2,1,2,1,3,3,3,1,3,1
"228",438336569,25,4,2,9,8,1,99,1,1,3,1,3,3,1,2,3,1
"229",438343711,62,7,1,8,15,2,3,1,1,3,2,1,2,2,1,1,1
"230",438585456,70,8,1,97,15,1,1,1,1,2,1,1,1,1,2,1,1
"231",438586007,62,7,2,5,NA,1,5,1,1,3,1,1,1,1,1,1,1
"232",438586742,40,5,1,5,11,4,6,2,1,1,1,1,1,3,1,1,1
"233",438589871,65,8,2,4,14,1,4,2,1,1,2,1,1,3,1,2,2
"234",438590347,59,7,1,4,11,1,6,2,1,2,1,1,1,3,3,1,1
"235",438597729,39,5,1,7,9,3,5,2,1,2,2,2,1,2,2,2,2
"236",438599130,73,8,1,10,15,1,7,2,2,1,2,2,2,1,3,3,2
"237",439212769,64,7,2,13,NA,2,7,1,1,2,1,2,1,3,1,2,1
"238",439605766,50,6,1,7,NA,1,2,2,1,2,1,1,3,1,1,2,3
"239",439626960,29,4,2,9,15,1,5,2,1,1,1,1,2,2,1,3,1
"240",440139531,23,3,1,9,13,3,3,2,2,1,2,1,2,2,1,2,3
"241",443461290,46,6,1,3,15,1,4,2,2,2,1,3,2,3,2,2,2
"242",437970181,54,6,1,2,15,1,2,1,2,2,2,2,2,2,2,2,2
"243",438343698,36,5,2,8,15,1,2,1,1,2,2,2,2,2,2,2,2
"244",439212734,52,6,1,97,11,1,5,2,2,2,2,2,1,1,3,1,2
"245",438349192,86,8,1,2,NA,1,5,1,2,3,1,1,2,1,1,1,2
"246",439230009,56,7,1,11,11,1,7,1,3,2,1,1,1,2,1,3,1
"247",439691121,70,8,2,3,NA,1,99,1,1,2,2,3,3,2,2,3,2
"248",438333808,39,5,1,5,11,2,6,2,1,1,1,1,1,3,1,2,1
"249",439680691,64,7,1,5,15,1,4,2,2,1,1,1,2,1,2,2,1
"250",437970387,65,8,2,9,14,1,4,2,2,2,1,2,2,2,2,3,1
"251",440139524,74,8,1,3,NA,1,5,1,2,3,3,3,3,2,3,3,3
"252",437946367,40,5,1,11,13,2,99,1,1,2,2,1,1,1,2,1,1
"253",437949032,80,8,1,7,11,1,99,1,2,2,2,2,2,2,2,2,2
"254",437949090,65,8,1,11,11,1,6,2,2,3,1,2,2,3,3,1,1
"255",437960135,48,6,1,7,11,1,99,2,1,2,2,1,1,1,2,1,1
"256",437960698,53,6,2,3,11,1,5,2,1,1,2,2,1,2,2,2,2
"257",437964919,74,8,1,7,NA,1,8,2,2,2,2,2,1,3,2,1,1
"258",437975453,49,6,1,3,16,1,5,2,1,2,1,1,2,2,2,2,2
"259",438168167,39,5,1,4,15,2,2,2,1,1,2,2,3,1,1,3,3
"260",438333461,43,5,1,9,NA,1,6,1,1,1,1,1,3,3,1,1,1
"261",438341480,33,4,1,5,15,2,7,2,1,1,1,1,2,3,1,3,3
"262",438343676,42,5,1,5,11,1,2,1,2,2,2,2,2,2,2,2,2
"263",438343690,78,8,1,11,8,1,2,1,1,2,1,2,2,3,2,3,1
"264",438343716,39,5,1,5,11,1,2,1,3,2,1,1,1,2,1,2,3
"265",438349148,81,8,1,10,NA,1,5,1,1,1,1,1,3,3,1,1,1
"266",438829105,47,6,1,11,13,1,9,2,1,1,1,1,1,3,3,3,1
"267",439212672,63,7,1,3,14,1,1,1,2,3,1,3,2,3,1,3,1
"268",439685723,40,5,1,11,11,2,99,2,1,1,1,1,1,1,1,2,1
"269",439691140,64,7,1,11,13,1,99,1,1,2,2,2,2,2,1,1,2
"270",440569467,62,7,1,4,15,1,9,2,2,1,1,1,1,1,1,2,2
"271",438544353,36,5,2,7,15,1,99,2,1,3,1,2,1,3,1,2,2
"272",440484276,43,5,1,5,15,2,4,1,1,2,1,3,1,1,1,3,1
"273",440598497,42,5,1,9,15,1,99,2,1,3,3,1,2,3,2,2,1
"274",440523470,35,5,1,7,6,1,4,2,1,1,2,1,1,3,3,2,1
"275",437887108,80,8,2,2,NA,1,4,2,1,3,1,1,2,2,2,1,1
"276",437960721,62,7,1,3,11,2,4,2,1,1,1,1,1,2,2,2,1
"277",437966373,74,8,1,3,15,1,4,2,2,2,1,2,1,2,2,2,2
"278",437982994,77,8,2,3,NA,2,2,2,1,2,1,2,3,1,1,1,1
"279",438206537,52,6,1,6,11,2,99,1,1,1,1,3,3,3,1,3,3
"280",438298846,38,5,2,13,11,1,99,1,1,3,1,2,2,2,2,2,2
"281",438327569,61,7,1,9,NA,2,5,1,1,3,1,2,1,2,3,1,1
"282",438341445,44,5,1,5,15,2,99,2,2,2,2,2,2,2,3,3,1
"283",438343680,40,5,2,10,11,2,2,1,1,1,1,1,2,1,2,3,1
"284",438349195,65,8,1,5,15,2,4,2,1,3,3,1,1,1,3,1,1
"285",438357080,65,8,1,3,15,1,7,1,1,2,1,1,2,2,1,1,1
"286",438359323,43,5,2,7,11,1,3,1,2,2,1,1,1,1,2,2,1
"287",438359534,52,6,1,7,16,1,6,1,2,2,1,2,2,3,2,1,1
"288",438747468,41,5,1,11,11,2,99,1,1,3,1,1,2,1,1,3,1
"289",438829099,48,6,1,13,13,1,99,1,1,1,1,1,1,3,3,2,2
"290",438851441,45,6,1,13,11,2,9,1,3,1,1,1,1,3,1,1,1
"291",438853209,55,7,2,11,14,2,99,1,1,3,1,1,1,3,3,3,1
"292",439159666,55,7,1,5,15,1,99,1,1,3,1,2,2,2,2,2,2
"293",439230066,70,8,1,5,15,89,8,1,1,1,2,2,2,3,3,2,1
"294",439242959,84,8,1,2,NA,1,99,1,1,1,1,1,3,3,3,1,1
"295",439252466,45,6,1,10,15,1,99,2,2,2,2,2,2,3,2,2,2
"296",439680686,55,7,1,5,15,1,99,1,1,2,1,1,3,1,1,3,1
"297",439683616,35,5,1,4,14,1,8,2,2,2,1,1,2,2,2,3,1
"298",439691272,63,7,2,5,NA,1,7,2,2,2,2,2,2,2,2,2,2
"299",439691384,53,6,1,5,9,1,7,1,1,3,1,1,3,2,1,3,3
